review,rating,date,title
돈 들인건 티가 나지만 보는 내내 하품만,1,2018.10.29,인피니티 워
몰입할수밖에 없다. 어렵게 생각할 필요없다. 내가 전투에 참여한듯 손에 땀이남.,10,2018.10.26,인피니티 워
이전 작품에 비해 더 화려하고 스케일도 커졌지만.... 전국 맛집의 음식들을 한데 모은 것까지는 좋았으나 이걸 모두 한 그릇에 섞어버린 듯한 느낌... 그래도 다음 작품을 기대하게 만든다...,8,2018.10.24,인피니티 워
이 정도면 볼만하다고 할 수 있음!,8,2018.10.22,인피니티 워
재미있다,10,2018.10.20,인피니티 워
나는 재밌게 봄,10,2018.10.14,인피니티 워
0.5점은 줄 수 없냐?,0,2018.10.10,인피니티 워
헐..다 죽었어....나중에 앤트맨 보다가도 깜놀...,10,2018.10.08,인피니티 워
충격 결말,9,2018.10.06,인피니티 워
응집력,8,2018.10.05,인피니티 워
개연성은 무시해라 액션을 즐겨라 스타로드가 이끌어준다 각각의 영웅들을 즐겨라 그리고 단적인 신념이 얼마나 부질없는지 보셔라,8,2018.10.01,인피니티 워
내가졸라이상하네,4,2018.09.27,인피니티 워
대박,10,2018.09.27,인피니티 워
정말 지루할틈없이 넘잘만들었다 역시 대단하다,9,2018.09.26,인피니티 워
역시 어벤져스!!,9,2018.09.26,인피니티 워
마지막에 누구한테 연락한거지? 궁금,9,2018.09.26,인피니티 워
다음 편이 궁굼해지네요^^,10,2018.09.26,인피니티 워
안잼있는사람 있음???????????,10,2018.09.26,인피니티 워
타노스 개갞기,9,2018.09.26,인피니티 워
잘 만들었다! 지루할 틈이 없네...,10,2018.09.26,인피니티 워
이제는 지겨워서 못보겠다,5,2018.09.26,인피니티 워
롱턱 타노스의  장갑이 참 맘에 듬.  아이언 맨과 토르 닥터만 생고생하고..  가디언즈 오브 갤럭시 들 때문에  손해가 크다고 봄  들짐승 하고 칡뿌리 같은 캐릭이  재미를 더해줄줄 알았으나  아쉬움 . 분노의 상징 헐크가 겁을 먹다니..로키의 초반 출연뿐이 서운하지만  본 영화에 이어질 내용에 적합하지 않은지 서두에  죽는부분으로 마무리 됨은 심섬한 충격임 .  다음편에 헬라가 다시 나올까?,6,2018.09.26,인피니티 워
내 인생 명작,10,2018.09.25,인피니티 워
와~~~~~진짜 개쪄는 인피니티워!!몇번을 봐도 개지린다.너무잼있다.어벤져스4도 너무 기대된다.빨리 2019년이왔으면 좋겠다.,10,2018.09.22,인피니티 워
종합선물세트지만 가장 중요한 마무리가 없는 예고편!!!,7,2018.09.20,인피니티 워
기대만큼 실망도크네요 임펙트도없고  내용도 그닥 너무억지,5,2018.09.19,인피니티 워
이 영화를 보고나서 예전 영화 왓치맨이 생각나더군요 평화를 위해선 불특정 다수의 희생이 동반되어야 한다는 빌런들의 질서를 잡고자 하는 정의감이 영웅들의 여러 불특정 다수의 희생자를 만들고 이룬 질서와 뭐가 다를까란 의문을 던지는 영화였습니다,9,2018.09.16,인피니티 워
괘 괜찮은 퀄리티의 수작,8,2018.09.16,인피니티 워
충성충성 마블의 개돼지 인사올립니다,10,2018.09.15,인피니티 워
너무허무하게끝나서다음편이있었으면조을거갔아요.,10,2018.09.14,인피니티 워
액션씬 찍을때  카메라 좀 흔들어 대지말아라.정신없이 흔들어 댄다고 더 멋지게 나오냐??ㅜ연출이나 편집들이 전작들보다 많이 떨어진다.,6,2018.09.14,인피니티 워
"보다보면 ""아니.. 얘네도 나와?"" 하게 하는 완전 종합 선물 세트",8,2018.09.13,인피니티 워
다양한 캐릭터들때문에 진짜 눈이 즐겁다는ㅋㅋ,9,2018.09.09,인피니티 워
다음편이 기대된다,9,2018.09.08,인피니티 워
어벤져스 답게 쏟아붓긴 했는데 한방이 없었다마블 영화들은 보고나면 늘 긴 예고편 본 느낌이다,5,2018.09.06,인피니티 워
조화가 잘됨,9,2018.09.03,인피니티 워
